date,site,latitude,longitude,co,nox,no2,o3,so2,pm10,pm25
2023-10-05 19:00:00,Aberdeen Union Street Roadside,57.144555,-2.106472,,31.14244,20.43453,,,,
2019-03-08 06:00:00,Birmingham Ladywood,52.481346,-1.918235,,,,,,18.95,11.91
2023-09-10 08:00:00,Aston Hill,52.50385,-3.034178,,2.48625,1.9125,67.05552,,,
2015-08-03 04:00:00,Barnsley Gawber,53.56292,-1.510436,,1.60969,1.23739,67.50455,0.97921,,
2016-06-03 20:00:00,Ballymena Ballykeel,54.861595,-6.250873,,,,,5.83402,,
2018-04-07 18:00:00,Billingham,54.60537,-1.275039,,8.00738,6.11987,,,,
2017-05-08 09:00:00,Blackburn Accrington Road,53.747763,-2.45268,,26.08848,11.41909,,,,
2020-06-10 16:00:00,Aston Hill,52.50385,-3.034178,,,,,,,
2020-08-07 02:00:00,Blackburn Accrington Road,53.747763,-2.45268,,7.47662,7.42638,,,,
2018-03-06 11:00:00,Billingham,54.60537,-1.275039,,9.13461,8.3609,,,,
2019-09-03 04:00:00,Ballymena Ballykeel,54.861595,-6.250873,,5.99552,4.38164,,1.34122,,
2017-07-02 02:00:00,Birkenhead Borough Road,53.388624,-3.024942,,7.65765,6.80563,,,,
2018-08-09 09:00:00,Belfast Stockman's Lane,54.572586,-5.974944,,184.95118,63.80625,,,11.666,
2017-01-04 03:00:00,Billingham,54.60537,-1.275039,,27.68057,25.84122,,,,
2022-01-01 20:00:00,Armagh Roadside,54.353728,-6.654558,,41.15655,22.94471,,,26.087,
2017-09-10 02:00:00,Aberdeen Union Street Roadside,57.144555,-2.106472,,15.87591,9.17793,,,,
2018-09-03 11:00:00,Blackburn Accrington Road,53.747763,-2.45268,,61.92111,31.23504,,,,
2018-07-02 09:00:00,Belfast Stockman's Lane,54.572586,-5.974944,,570.71267,153.76875,,,28.332,
2020-01-06 01:00:00,Birmingham Ladywood,52.481346,-1.918235,,3.79797,3.50793,72.9761,0.12919,6.45,3.302
2023-01-04 08:00:00,Aston Hill,52.50385,-3.034178,,3.23801,2.84569,61.05461,,,
2018-02-10 01:00:00,Blackburn Accrington Road,53.747763,-2.45268,,5.58134,3.33214,,,,
2020-06-07 09:00:00,Barnsley Gawber,53.56292,-1.510436,,6.24702,4.20584,51.58885,1.10013,,
2020-06-12 02:00:00,Blackburn Accrington Road,53.747763,-2.45268,,94.67444,41.50981,,,,
2016-06-10 12:00:00,Belfast Stockman's Lane,54.572586,-5.974944,,82.64773,38.04536,,,30.015,
2018-12-03 21:00:00,Barnsley Gawber,53.56292,-1.510436,,13.8229,13.38343,34.52561,0.7368,,
2023-12-08 02:00:00,Aberdeen Erroll Park,57.1574,-2.09477,,12.79712,10.12758,61.41767,,16.875,9.434
2018-07-05 09:00:00,Armagh Roadside,54.353728,-6.654558,,49.81097,17.40898,,,20.5,
2017-02-01 01:00:00,Barnsley Gawber,53.56292,-1.510436,,8.99194,8.63621,51.08992,1.11048,,
2023-01-05 14:00:00,Aberdeen Erroll Park,57.1574,-2.09477,,5.44599,2.94503,89.40736,,5.125,2.689
2019-01-09 16:00:00,Ballymena Ballykeel,54.861595,-6.250873,,6.01301,4.44694,,,,
2022-08-05 07:00:00,Ballymena Ballykeel,54.861595,-6.250873,,10.24339,6.88685,,0.88824,,
2021-07-12 02:00:00,Billingham,54.60537,-1.275039,,7.89867,7.36872,,,,
2019-02-06 19:00:00,Birkenhead Borough Road,53.388624,-3.024942,,4.08924,2.05957,,,,
2019-01-06 16:00:00,Belfast Centre,54.59965,-5.928833,0.159536,14.38261,10.79751,67.30498,1.64705,13.0,8.7
2023-01-08 03:00:00,Aberdeen Wellington Road,57.133888,-2.094198,,34.40166,27.71005,,,,
2019-07-06 03:00:00,Ballymena Antrim Road,54.851491,-6.274961,,51.26053,19.10183,,,,
2017-04-07 20:00:00,Aberdeen Union Street Roadside,57.144555,-2.106472,,53.19907,24.46763,,,,
2023-11-07 07:00:00,Aston Hill,52.50385,-3.034178,,1.39173,0.99449,52.88605,,,
2022-07-04 16:00:00,Blackburn Accrington Road,53.747763,-2.45268,,49.41008,23.77645,,,,
2020-11-02 04:00:00,Ballymena Ballykeel,54.861595,-6.250873,,0.856,0.30193,,,,
2021-09-02 09:00:00,Billingham,54.60537,-1.275039,,36.12739,20.61551,,,,
2015-07-07 16:00:00,Aberdeen Union Street Roadside,57.144555,-2.106472,,,,,,,
2017-01-03 05:00:00,Blackburn Accrington Road,53.747763,-2.45268,,38.57895,26.53355,,,,
2016-03-05 22:00:00,Aberdeen Wellington Road,57.133888,-2.094198,,27.6514,19.44248,,,,
2017-06-01 21:00:00,Belfast Centre,54.59965,-5.928833,0.090808,46.57607,39.93683,28.68819,0.87078,12.63,9.2
2022-08-11 07:00:00,Blackburn Accrington Road,53.747763,-2.45268,,26.05379,15.75192,,,,
2022-11-08 03:00:00,Billingham,54.60537,-1.275039,,17.71814,16.19486,,,,
2019-06-04 06:00:00,Aberdeen Wellington Road,57.133888,-2.094198,,119.22695,78.64223,,,,
2019-06-01 19:00:00,Birmingham Ladywood,52.481346,-1.918235,,,,,,31.3,18.5
2017-10-11 12:00:00,Ballymena Ballykeel,54.861595,-6.250873,,14.5051,10.72403,,0.26318,,
2023-05-03 06:00:00,Aberdeen Union Street Roadside,57.144555,-2.106472,,17.7834,13.31601,,,,
